Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded
MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",27981,66740,1902
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",23467,1800,1888
ABBV,AbbVie Inc.,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",41274,1551152,2013 (1888)
ABMD,ABIOMED Inc,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",43251,815094,1981
ACN,Accenture plc,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",40730,1467373,1989
ATVI,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",42247,718877,2008
ADBE,Adobe Inc.,reports,Information Technology,Application Software,"San Jose, California",35555,796343,1982
AMD,Advanced Micro Devices Inc,reports,Information Technology,Semiconductors,"Santa Clara, California",42814,2488,1969
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",42194,1158449,1932
AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",36070,874761,1981
AFL,AFLAC Inc,reports,Financials,Life & Health Insurance,"Columbus, Georgia",36308,4977,1955
A,Agilent Technologies Inc,reports,Health Care,Health Care Equipment,"Santa Clara, California",36682,1090872,1999
APD,Air Products & Chemicals Inc,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",31167,2969,1940
AKAM,Akamai Technologies Inc,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",39275,1086222,1998
ALK,Alaska Air Group Inc,reports,Industrials,Airlines,"Seattle, Washington",42503,766421,1985
ALB,Albemarle Corp,reports,Materials,Specialty Chemicals,"Charlotte, North Carolina",42552,915913,1994
ARE,Alexandria Real Estate Equities,reports,Real Estate,Office REITs,"Pasadena, California",42814,1035443,1994
ALXN,Alexion Pharmaceuticals,reports,Health Care,Biotechnology,"Boston, Massachusetts",41054,899866,1992
ALGN,Align Technology,reports,Health Care,Health Care Supplies,"San Jose, California",42905,1097149,1997
ALLE,Allegion,reports,Industrials,Building Products,"Dublin, Ireland",41610,1579241,1908
ADS,Alliance Data Systems,reports,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",41631,1101215,1996
LNT,Alliant Energy Corp,reports,Utilities,Electric Utilities,"Madison, Wisconsin",42552,352541,1917
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",34893,899051,1931
GOOGL,Alphabet Inc Class A,reports,Communication Services,Interactive Media & Services,"Mountain View, California",41732,1652044,1998
GOOG,Alphabet Inc Class C,reports,Communication Services,Interactive Media & Services,"Mountain View, California",38810,1652044,1998
MO,Altria Group Inc,reports,Consumer Staples,Tobacco,"Richmond, Virginia",,764180,1985
AMZN,Amazon.com Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",38674,1018724,1994
AMCR,Amcor plc,reports,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",43623,1748790,2019 (1860)
AEE,Ameren Corp,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",33500,1002910,1902
AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",42086,6201,1934
AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",,4904,1906
AXP,American Express Co,reports,Financials,Consumer Finance,"New York, New York",27941,4962,1850
AIG,American International Group,reports,Financials,Property & Casualty Insurance,"New York, New York",29311,5272,1919
AMT,American Tower Corp.,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",39405,1053507,1995
AWK,American Water Works Company Inc,reports,Utilities,Water Utilities,"Camden, New Jersey",42433,1410636,1886
AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",38628,820027,1894
ABC,AmerisourceBergen Corp,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",37133,1140859,1985
AME,AMETEK Inc.,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",41540,1037868,1930
AMGN,Amgen Inc.,reports,Health Care,Biotechnology,"Thousand Oaks, California",33605,318154,1980
APH,Amphenol Corp,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",39721,820313,1932
ADI,"Analog Devices, Inc.",reports,Information Technology,Semiconductors,"Norwood, Massachusetts",36445,6281,1965
ANSS,ANSYS,reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",42905,1013462,1969
ANTM,Anthem,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",37462,1156039,2014 (1940s)
AON,Aon plc,reports,Financials,Insurance Brokers,"London, United Kingdom",35178,315293,1982 (1919)
AOS,A.O. Smith Corp,reports,Industrials,Building Products,"Milwaukee, Wisconsin",42942,91142,1916
APA,Apache Corporation,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",35639,6769,1954
AIV,Apartment Investment & Management,reports,Real Estate,Residential REITs,"Denver, Colorado",37694,922864,1994 (1975)
AAPL,Apple Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",30285,320193,1977
AMAT,Applied Materials Inc.,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",34774,6951,1967
APTV,Aptiv PLC,reports,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",41267,1521332,1994
ADM,Archer-Daniels-Midland Co,reports,Consumer Staples,Agricultural Products,"Chicago, Illinois",29796,7084,1902
ANET,Arista Networks,reports,Information Technology,Communications Equipment,"Santa Clara, California",43340,1596532,2004
AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,"Itasca, Illinois",42521,354190,
AIZ,Assurant,reports,Financials,Multi-line Insurance,"New York, New York",39182,1267238,
T,AT&T Inc.,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),732717,1983 (1885)
ATO,Atmos Energy,reports,Utilities,Gas Utilities,"Dallas, Texas",43511,731802,1906
ADSK,Autodesk Inc.,reports,Information Technology,Application Software,"San Rafael, California",32843,769397,
ADP,Automatic Data Processing,reports,Information Technology,Internet Services & Infrastructure,"Roseland, New Jersey",29676,8670,
AZO,AutoZone Inc,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",35432,866787,
AVB,"AvalonBay Communities, Inc.",reports,Real Estate,Residential REITs,"Arlington, Virginia[3]",39092,915912,
AVY,Avery Dennison Corp,reports,Materials,Paper Packaging,"Glendale, California",32142,8818,
BKR,Baker Hughes Co,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",42923,1701605,2017
BLL,Ball Corp,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",30986,9389,
BAC,Bank of America Corp,reports,Financials,Diversified Banks,"Charlotte, North Carolina",27941,70858,
BK,The Bank of New York Mellon Corp.,reports,Financials,Asset Management & Custody Banks,"New York, New York",34789,1390777,
BAX,Baxter International Inc.,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",26572,10456,1931
BDX,Becton Dickinson,reports,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",26572,10795,1897
BRK-B,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",40225,1067983,
BBY,Best Buy Co. Inc.,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",36340,764478,
BIIB,Biogen Inc.,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",37938,875045,
BLK,BlackRock,reports,Financials,Asset Management & Custody Banks,"New York, New York",40637,1364742,
BA,Boeing Company,reports,Industrials,Aerospace & Defense,"Chicago, Illinois",,12927,1916
BKNG,Booking Holdings Inc,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",40123,1075531,
BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",40896,908255,
BXP,Boston Properties,reports,Real Estate,Office REITs,"Boston, Massachusetts",38810,1037540,
BSX,Boston Scientific,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",34754,885725,
BMY,Bristol-Myers Squibb,reports,Health Care,Health Care Distributors,"New York, New York",,14272,1989
AVGO,Broadcom Inc.,reports,Information Technology,Semiconductors,"San Jose, California",41767,1730168,1961
BR,Broadridge Financial Solutions,reports,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",43269,1383312,1962
BF-B,Brown-Forman Corp.,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",30255,14693,
CHRW,C. H. Robinson Worldwide,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",39143,1043277,1905
COG,Cabot Oil & Gas,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",39622,858470,
CDNS,Cadence Design Systems,reports,Information Technology,Application Software,"San Jose, California",42996,813672,
CPB,Campbell Soup,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",,16732,1869
COF,Capital One Financial,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",35977,927628,1935
CPRI,Capri Holdings,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",41591,1530721,1981
CAH,Cardinal Health Inc.,reports,Health Care,Health Care Distributors,"Dublin, Ohio",35577,721371,
KMX,Carmax Inc,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",40357,1170010,
CCL,Carnival Corp.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",36151,815097,
CARR,Carrier Global,reports,Industrials,Building Products,"Palm Beach Gardens, Florida",43924,1783180,
CAT,Caterpillar Inc.,reports,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",,18230,1925
CBOE,Cboe Global Markets,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",42795,1374310,
CBRE,CBRE Group,reports,Real Estate,Real Estate Services,"Los Angeles, California",39031,1138118,
CDW,CDW,reports,Information Technology,Technology Distributors,"Lincolnshire, Illinois",43731,1402057,1984
CE,Celanese,reports,Materials,Specialty Chemicals,"Irving, Texas",43458,1306830,1918
CNC,Centene Corporation,reports,Health Care,Managed Health Care,"St Louis, Missouri",42459,1071739,
CNP,CenterPoint Energy,reports,Utilities,Multi-Utilities,"Houston, Texas",31259,1130310,
CTL,CenturyLink Inc,reports,Communication Services,Alternative Carriers,"Monroe, Louisiana",36244,18926,
CERN,Cerner,reports,Health Care,Health Care Technology,"North Kansas City, Missouri",40298,804753,
CF,CF Industries Holdings Inc,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",39687,1324404,
SCHW,Charles Schwab Corporation,reports,Financials,Investment Banking & Brokerage,"San Francisco, California",35583,316709,
CHTR,Charter Communications,reports,Communication Services,Cable & Satellite,"Stamford, Connecticut",42621,1091667,
CVX,Chevron Corp.,reports,Energy,Integrated Oil & Gas,"San Ramon, California",,93410,1879
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,"Newport Beach, California",40661,1058090,
CB,Chubb Limited,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",40374,896159,
CHD,Church & Dwight,reports,Consumer Staples,Household Products,"Ewing, New Jersey",42367,313927,
CI,CIGNA Corp.,reports,Health Care,Managed Health Care,"Bloomfield, Connecticut",27941,701221,
CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",35782,20286,
CTAS,Cintas Corporation,reports,Industrials,Diversified Support Services,"Mason, Ohio",36951,723254,1929
CSCO,Cisco Systems,reports,Information Technology,Communications Equipment,"San Jose, California",34304,858877,
C,Citigroup Inc.,reports,Financials,Diversified Banks,"New York, New York",32294,831001,
CFG,Citizens Financial Group,reports,Financials,Regional Banks,"Providence, Rhode Island",42398,759944,
CTXS,Citrix Systems,reports,Information Technology,Application Software,"Fort Lauderdale, Florida",36495,877890,
CLX,The Clorox Company,reports,Consumer Staples,Household Products,"Oakland, California",25293,21076,1913
CME,CME Group Inc.,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",38940,1156375,
CMS,CMS Energy,reports,Utilities,Multi-Utilities,"Jackson, Michigan",36283,811156,
KO,Coca-Cola Company,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",,21344,1886
CTSH,Cognizant Technology Solutions,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",39038,1058290,
CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,"New York, New York",,21665,1806
CMCSA,Comcast Corp.,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",42265,1166691,
CMA,Comerica Inc.,reports,Financials,Diversified Banks,"Dallas, Texas",35034,28412,
CAG,Conagra Brands,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",30559,23217,
CXO,Concho Resources,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",42422,1358071,
COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,1163165,2002
ED,Consolidated Edison,reports,Utilities,Electric Utilities,"New York, New York",,1047862,1823
STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",38534,16918,
COO,The Cooper Companies,reports,Health Care,Health Care Supplies,"San Ramon, California",42636,711404,
CPRT,Copart Inc,reports,Industrials,Diversified Support Services,"Dallas, Texas",43283,900075,1982
GLW,Corning Inc.,reports,Information Technology,Electronic Components,"Corning, New York",,24741,1851
CTVA,Corteva,reports,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",43619,1755672,2019
COST,Costco Wholesale Corp.,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",34243,909832,
COTY,"Coty, Inc",reports,Consumer Staples,Personal Products,"New York, New York",42646,1024305,
CCI,Crown Castle International Corp.,reports,Real Estate,Specialized REITs,"Houston, Texas",40982,1051470,
CSX,CSX Corp.,reports,Industrials,Railroads,"Jacksonville, Florida",24745,277948,1980
CMI,Cummins Inc.,reports,Industrials,Industrial Machinery,"Columbus, Indiana",23832,26172,1919
CVS,CVS Health,reports,Health Care,Health Care Services,"Woonsocket, Rhode Island",,64803,1996
DHI,D. R. Horton,reports,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",,882184,1978
DHR,Danaher Corp.,reports,Health Care,Health Care Equipment,"Washington, D.C.",,313616,1969
DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944,1938
DVA,DaVita Inc.,reports,Health Care,Health Care Facilities,"Denver, Colorado",39660,927066,
DE,Deere & Co.,reports,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",,315189,1837
DAL,Delta Air Lines Inc.,reports,Industrials,Airlines,"Atlanta, Georgia",41528,27904,1929
XRAY,Dentsply Sirona,reports,Health Care,Health Care Supplies,"Charlotte, North Carolina",39766,818479,
DVN,Devon Energy,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",36768,1090012,
FANG,Diamondback Energy,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",43437,1539838,2007
DLR,Digital Realty Trust Inc,reports,Real Estate,Specialized REITs,"San Francisco, California",42508,1297996,
DFS,Discover Financial Services,reports,Financials,Consumer Finance,"Riverwoods, Illinois",39265,1393612,
DISCA,Discovery Inc. Class A,reports,Communication Services,Broadcasting,"Silver Spring, Maryland",40238,1437107,
DISCK,Discovery Inc. Class C,reports,Communication Services,Broadcasting,"Silver Spring, Maryland",41858,1437107,
DISH,Dish Network,reports,Communication Services,Cable & Satellite,"Meridian, Colorado",42807,1001082,
DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",41246,29534,
DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",40896,935703,
D,Dominion Energy,reports,Utilities,Electric Utilities,"Richmond, Virginia",,715957,1983
DOV,Dover Corporation,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",31351,29905,1955
DOW,Dow Inc.,reports,Materials,Commodity Chemicals,"Midland, Michigan",43556,1751788,2019
DTE,DTE Energy Co.,reports,Utilities,Multi-Utilities,"Detroit, Michigan",,936340,1995
DUK,Duke Energy,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",27941,1326160,
DRE,Duke Realty Corp,reports,Real Estate,Industrial REITs,"Indianapolis, Indiana",42942,783280,
DD,DuPont de Nemours Inc,reports,Materials,Specialty Chemicals,"Midland, Michigan",43557,1666700,2017
DXC,DXC Technology,reports,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",42829,1688568,2017
ETFC,E*Trade,reports,Financials,Investment Banking & Brokerage,"New York, New York",38077,1015780,
EMN,Eastman Chemical,reports,Materials,Diversified Chemicals,"Kingsport, Tennessee",34335,915389,
ETN,Eaton Corporation,reports,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,1551182,1911
EBAY,eBay Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",,1065088,1995
ECL,Ecolab Inc.,reports,Materials,Specialty Chemicals,"St. Paul, Minnesota",32539,31462,
EIX,Edison Int'l,reports,Utilities,Electric Utilities,"Rosemead, California",,827052,1886
EW,Edwards Lifesciences,reports,Health Care,Health Care Equipment,"Irvine, California",40634,1099800,
EA,Electronic Arts,reports,Communication Services,Interactive Home Entertainment,"Redwood City, California",37459,712515,
EMR,Emerson Electric Company,reports,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",23832,32604,1890
ETR,Entergy Corp.,reports,Utilities,Electric Utilities,"New Orleans, Louisiana",,65984,1913
EOG,EOG Resources,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",36832,821189,
EFX,Equifax Inc.,reports,Industrials,Research & Consulting Services,"Atlanta, Georgia",35600,33185,1899
EQIX,Equinix,reports,Real Estate,Specialized REITs,"Redwood City, California",42083,1101239,
EQR,Equity Residential,reports,Real Estate,Residential REITs,"Chicago, Illinois",37228,906107,
ESS,"Essex Property Trust, Inc.",reports,Real Estate,Residential REITs,"Palo Alto, California",41731,920522,
EL,Estée Lauder Companies,reports,Consumer Staples,Personal Products,"New York, New York",38722,1001250,
EVRG,Evergy,reports,Utilities,Electric Utilities,"Kansas City, Missouri",43256,1711269,1909
ES,Eversource Energy,reports,Utilities,Multi-Utilities,"Springfield, Massachusetts",,72741,1966
RE,Everest Re Group Ltd.,reports,Financials,Reinsurance,"Hamilton, Bermuda",42905,1095073,
EXC,Exelon Corp.,reports,Utilities,Multi-Utilities,"Chicago, Illinois",,1109357,2000
EXPE,Expedia Group,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",39357,1324424,
EXPD,Expeditors,reports,Industrials,Air Freight & Logistics,"Seattle, Washington",39365,746515,1979
EXR,Extra Space Storage,reports,Real Estate,Specialized REITs,"Salt Lake City, Utah",42388,1289490,
XOM,Exxon Mobil Corp.,reports,Energy,Integrated Oil & Gas,"Irving, Texas",,34088,1999
FFIV,F5 Networks,reports,Information Technology,Communications Equipment,"Seattle, Washington",40532,1048695,1996
FB,"Facebook, Inc.",reports,Communication Services,Interactive Media & Services,"Menlo Park, California",41631,1326801,
FAST,Fastenal Co,reports,Industrials,Building Products,"Winona, Minnesota",39706,815556,1967
FRT,Federal Realty Investment Trust,reports,Real Estate,Retail REITs,"Rockville, Maryland",42401,34903,
FDX,FedEx Corporation,reports,Industrials,Air Freight & Logistics,"Memphis, Tennessee",29586,1048911,
FIS,Fidelity National Information Services,reports,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",39031,1136893,
FITB,Fifth Third Bancorp,reports,Financials,Regional Banks,"Cincinnati, Ohio",,35527,1858
FE,FirstEnergy Corp,reports,Utilities,Electric Utilities,"Akron, Ohio",,1031296,1997
FRC,First Republic Bank,reports,Financials,Regional Banks,"San Francisco, California",43467,1132979,1985
FISV,Fiserv Inc,reports,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",36983,798354,
FLT,FleetCor Technologies Inc,reports,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",43271,1175454,2000
FLIR,FLIR Systems,reports,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",39815,354908,
FLS,Flowserve Corporation,reports,Industrials,Industrial Machinery,"Irving, Texas",39723,30625,
FMC,FMC Corporation,reports,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",40044,37785,
F,Ford Motor Company,reports,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",,37996,1903
FTNT,Fortinet,reports,Information Technology,Systems Software,"Sunnyvale, California",43384,1262039,2000
FTV,Fortive Corp,reports,Industrials,Industrial Machinery,"Everett, Washington",42552,1659166,2016
FBHS,Fortune Brands Home & Security,reports,Industrials,Building Products,"Deerfield, Illinois",42543,1519751,
FOXA,Fox Corporation Class A,reports,Communication Services,Movies & Entertainment,"New York, New York",41456,1308161,
FOX,Fox Corporation Class B,reports,Communication Services,Movies & Entertainment,"New York, New York",42265,1308161,
BEN,Franklin Resources,reports,Financials,Asset Management & Custody Banks,"San Mateo, California",,38777,1947
FCX,Freeport-McMoRan Inc.,reports,Materials,Copper,"Phoenix, Arizona",,831259,1912
GPS,Gap Inc.,reports,Consumer Discretionary,Apparel Retail,"San Francisco, California",31655,39911,
GRMN,Garmin Ltd.,reports,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",41255,1121788,
IT,Gartner Inc,reports,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",42830,749251,
GD,General Dynamics,reports,Industrials,Aerospace & Defense,"Falls Church, Virginia",,40533,1899
GE,General Electric,reports,Industrials,Industrial Conglomerates,"Boston, Massachusetts",,40545,1892
GIS,General Mills,reports,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",25293,40704,1856
GM,General Motors,reports,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",41431,1467858,
GPC,Genuine Parts,reports,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",27029,40987,1925
GILD,Gilead Sciences,reports,Health Care,Biotechnology,"Foster City, California",38169,882095,
GL,Globe Life Inc.,reports,Financials,Life & Health Insurance,"McKinney, Texas",32628,320335,
GPN,Global Payments Inc.,reports,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",42485,1123360,
GS,Goldman Sachs Group,reports,Financials,Investment Banking & Brokerage,"New York, New York",37459,886982,
GWW,Grainger (W.W.) Inc.,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",29767,277135,
HRB,H&R Block,reports,Consumer Discretionary,Specialized Consumer Services,"Kansas City, Missouri",31746,12659,
HAL,Halliburton Co.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,45012,1919
HBI,Hanesbrands Inc,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",42083,1359841,2000
HOG,Harley-Davidson,reports,Consumer Discretionary,Motorcycle Manufacturers,"Milwaukee, Wisconsin",,793952,1903
HIG,Hartford Financial Svc.Gp.,reports,Financials,Property & Casualty Insurance,"Hartford, Connecticut",,874766,
HAS,Hasbro Inc.,reports,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",30955,46080,
HCA,HCA Healthcare,reports,Health Care,Health Care Facilities,"Nashville, Tennessee",42031,860730,
PEAK,Healthpeak Properties,reports,Real Estate,Health Care REITs,"Long Beach, California",39538,765880,
HP,Helmerich & Payne,reports,Energy,Oil & Gas Drilling,"Tulsa, Oklahoma[5]",40238,46765,
HSIC,Henry Schein,reports,Health Care,Health Care Distributors,"Melville, New York",42080,1000228,
HSY,The Hershey Company,reports,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",,47111,1894
HES,Hess Corporation,reports,Energy,Integrated Oil & Gas,"New York, New York",30833,4447,
HPE,Hewlett Packard Enterprise,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",42310,1645590,2015
HLT,Hilton Worldwide Holdings Inc,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",42905,1585689,1919
HFC,HollyFrontier Corp,reports,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas",43269,48039,
HOLX,Hologic,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts",42459,859737,
HD,Home Depot,reports,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",32233,354950,
HON,Honeywell Int'l Inc.,reports,Industrials,Industrial Conglomerates,"Morristown, New Jersey",23467,773840,1906
HRL,Hormel Foods Corp.,reports,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",39876,48465,
HST,Host Hotels & Resorts,reports,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",39161,1070750,
HWM,Howmet Aerospace,reports,Industrials,Aerospace & Defense,"New York, New York",23467,4281,2016
HPQ,HP Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",27394,47217,1939 (2015)
HUM,Humana Inc.,reports,Health Care,Managed Health Care,"Louisville, Kentucky",,49071,1961
HBAN,Huntington Bancshares,reports,Financials,Regional Banks,"Columbus, Ohio",,49196,1866
HII,Huntington Ingalls Industries,reports,Industrials,Aerospace & Defense,"Newport News, Virginia",43103,1501585,
IEX,IDEX Corporation,reports,Industrials,Industrial Machinery,"Lake Forest, Illinois",43686,832101,1988
IDXX,IDEXX Laboratories,reports,Health Care,Health Care Equipment,"Westbrook, Maine",42740,874716,
INFO,IHS Markit Ltd.,reports,Industrials,Research & Consulting Services,"London, United Kingdom",42888,1598014,
ITW,Illinois Tool Works,reports,Industrials,Industrial Machinery,"Glenview, Illinois",31471,49826,
ILMN,Illumina Inc,reports,Health Care,Life Sciences Tools & Services,"San Diego, California",42327,1110803,
INCY,Incyte,reports,Health Care,Biotechnology,"Wilmington, Delaware",42794,879169,
