Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded
IR,Ingersoll Rand,reports,Industrials,Industrial Machinery,"Milwaukee, Wisconsin",43893,1699150,1859
INTC,Intel Corp.,reports,Information Technology,Semiconductors,"Santa Clara, California",28125,50863,
ICE,Intercontinental Exchange,reports,Financials,Financial Exchanges & Data,"Atlanta, Georgia",39351,1571949,2000
IBM,International Business Machines,reports,Information Technology,IT Consulting & Other Services,"Armonk, New York",,51143,1911
IP,International Paper,reports,Materials,Paper Packaging,"Memphis, Tennessee",,51434,1898
IPG,Interpublic Group,reports,Communication Services,Advertising,"New York, New York",33878,51644,
IFF,Intl Flavors & Fragrances,reports,Materials,Specialty Chemicals,"New York, New York",27850,51253,
INTU,Intuit Inc.,reports,Information Technology,Application Software,"Mountain View, California",36865,896878,
ISRG,Intuitive Surgical Inc.,reports,Health Care,Health Care Equipment,"Sunnyvale, California",39601,1035267,
IVZ,Invesco Ltd.,reports,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",39681,914208,
IPGP,IPG Photonics Corp.,reports,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",43166,1111928,
IQV,IQVIA Holdings Inc.,reports,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",42976,1478242,
IRM,Iron Mountain Incorporated,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",39819,1020569,
JKHY,Jack Henry & Associates,reports,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",43417,779152,1976
J,Jacobs Engineering Group,reports,Industrials,Construction & Engineering,"Dallas, Texas",39381,52988,
JBHT,J. B. Hunt Transport Services,reports,Industrials,Trucking,"Lowell, Arkansas",42186,728535,
SJM,JM Smucker,reports,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",39758,91419,
JNJ,Johnson & Johnson,reports,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",26845,200406,1886
JCI,Johnson Controls International,reports,Industrials,Building Products,"Cork, Ireland",40417,833444,
JPM,JPMorgan Chase & Co.,reports,Financials,Diversified Banks,"New York, New York",27575,19617,
JNPR,Juniper Networks,reports,Information Technology,Communications Equipment,"Sunnyvale, California",38870,1043604,1996
KSU,Kansas City Southern,reports,Industrials,Railroads,"Kansas City, Missouri",41418,54480,
K,Kellogg Co.,reports,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,55067,1906
KEY,KeyCorp,reports,Financials,Regional Banks,"Cleveland, Ohio",34394,91576,
KEYS,Keysight Technologies,reports,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",43410,1601046,2014
KMB,Kimberly-Clark,reports,Consumer Staples,Household Products,"Irving, Texas",,55785,1872
KIM,Kimco Realty,reports,Real Estate,Retail REITs,"New Hyde Park, New York",38811,879101,
KMI,Kinder Morgan,reports,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",41054,1506307,
KLAC,KLA Corporation,reports,Information Technology,Semiconductor Equipment,"Milpitas, California",,319201,1975/1977 (1997)
KSS,Kohl's Corp.,reports,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",,885639,1962
KHC,Kraft Heinz Co,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",42191,1637459,2015 (1869)
KR,Kroger Co.,reports,Consumer Staples,Food Retail,"Cincinnati, Ohio",,56873,1883
LB,L Brands Inc.,reports,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",30589,701985,
LHX,L3Harris Technologies,reports,Industrials,Aerospace & Defense,"Melbourne, Florida",,202058,
LH,Laboratory Corp. of America Holding,reports,Health Care,Health Care Services,"Burlington, North Carolina",38292,920148,
LRCX,Lam Research,reports,Information Technology,Semiconductor Equipment,"Fremont, California",41089,707549,
LW,Lamb Weston Holdings Inc,reports,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",43437,1679273,2016 (1950)
LVS,Las Vegas Sands,reports,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",43741,1300514,1988
LEG,Leggett & Platt,reports,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",,58492,1883
LDOS,Leidos Holdings,reports,Information Technology,IT Consulting & Other Services,"Reston, Virginia",43686,1336920,1969
LEN,Lennar Corp.,reports,Consumer Discretionary,Homebuilding,"Miami, Florida",38629,920760,
LLY,Lilly (Eli) & Co.,reports,Health Care,Pharmaceuticals,"Indianapolis, Indiana",25933,59478,1876
LNC,Lincoln National,reports,Financials,Multi-line Insurance,"Radnor, Pennsylvania",27941,59558,
LIN,Linde plc,reports,Materials,Industrial Gases,"Guildford, Surrey, United Kingdom",33786,1707925,1879
LYV,Live Nation Entertainment,reports,Communication Services,Movies & Entertainment,"Beverly Hills, California",43822,1335258,2010
LKQ,LKQ Corporation,reports,Consumer Discretionary,Distributors,"Chicago, Illinois",42513,1065696,
LMT,Lockheed Martin Corp.,reports,Industrials,Aerospace & Defense,"Bethesda, Maryland",30894,936468,
L,Loews Corp.,reports,Financials,Multi-line Insurance,"New York, New York",,60086,
LOW,Lowe's Cos.,reports,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",30741,60667,1904/1946/1959
LYB,LyondellBasell,reports,Materials,Specialty Chemicals,"Rotterdam, Netherlands",41157,1489393,
MTB,M&T Bank Corp.,reports,Financials,Regional Banks,"Buffalo, New York",,36270,1856
MRO,Marathon Oil Corp.,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",33359,101778,
MPC,Marathon Petroleum,reports,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",40725,1510295,
MKTX,MarketAxess,reports,Financials,Financial Exchanges & Data,"New York, New York",43647,1278021,2000
MAR,Marriott Int'l.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286,1927
MMC,Marsh & McLennan,reports,Financials,Insurance Brokers,"New York, New York",32020,62709,
MLM,Martin Marietta Materials,reports,Materials,Construction Materials,"Raleigh, North Carolina",41822,916076,
MAS,Masco Corp.,reports,Industrials,Building Products,"Livonia, Michigan",29767,62996,
MA,Mastercard Inc.,reports,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",39647,1141391,
MKC,McCormick & Co.,reports,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",,63754,1889
MXIM,Maxim Integrated Products Inc,reports,Information Technology,Semiconductors,"San Jose, California",43437,743316,1983
MCD,McDonald's Corp.,reports,Consumer Discretionary,Restaurants,"Chicago, Illinois",25749,63908,1940
MCK,McKesson Corp.,reports,Health Care,Health Care Distributors,"Irving, Texas",,927653,1833
MDT,Medtronic plc,reports,Health Care,Health Care Equipment,"Dublin, Ireland",31716,1613103,1949
MRK,Merck & Co.,reports,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",,310158,1891
MET,MetLife Inc.,reports,Financials,Life & Health Insurance,"New York, New York",,1099219,1868
MTD,Mettler Toledo,reports,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",42619,1037646,
MGM,MGM Resorts International,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",42942,789570,
MCHP,Microchip Technology,reports,Information Technology,Semiconductors,"Chandler, Arizona",39332,827054,
MU,Micron Technology,reports,Information Technology,Semiconductors,"Boise, Idaho",34604,723125,
MSFT,Microsoft Corp.,reports,Information Technology,Systems Software,"Redmond, Washington",34486,789019,1975
MAA,Mid-America Apartments,reports,Real Estate,Residential REITs,"Memphis, Tennessee",42706,912595,
MHK,Mohawk Industries,reports,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",41631,851968,
TAP,Molson Coors Brewing Company,reports,Consumer Staples,Brewers,"Denver, Colorado",27941,24545,
MDLZ,Mondelez International,reports,Consumer Staples,Packaged Foods & Meats,"Deerfield, Illinois",41184,1103982,
MNST,Monster Beverage,reports,Consumer Staples,Soft Drinks,"Corona, California",41088,865752,
MCO,Moody's Corp,reports,Financials,Financial Exchanges & Data,"New York, New York",,1059556,1909
MS,Morgan Stanley,reports,Financials,Investment Banking & Brokerage,"New York, New York",,895421,1935
MOS,The Mosaic Company,reports,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",40812,1285785,
MSI,Motorola Solutions Inc.,reports,Information Technology,Communications Equipment,"Chicago, Illinois",,68505,1928 (2011)
MSCI,MSCI Inc,reports,Financials,Financial Exchanges & Data,"New York, New York",43194,1408198,
MYL,Mylan N.V.,reports,Health Care,Pharmaceuticals,"Amsterdam, Netherlands",38100,1623613,1961
NDAQ,"Nasdaq, Inc.",reports,Financials,Financial Exchanges & Data,"New York, New York",39743,1120193,
NOV,National Oilwell Varco Inc.,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",38425,1021860,
NTAP,NetApp,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California",36336,1002047,
NFLX,Netflix Inc.,reports,Communication Services,Movies & Entertainment,"Los Gatos, California",40532,1065280,1997
NWL,Newell Brands,reports,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",32628,814453,
NEM,Newmont Corporation,reports,Materials,Gold,"Denver, Colorado",25384,1164727,1921
NWSA,News Corp. Class A,reports,Communication Services,Publishing,"New York, New York",41487,1564708,
NWS,News Corp. Class B,reports,Communication Services,Publishing,"New York, New York",42265,1564708,
NEE,NextEra Energy,reports,Utilities,Multi-Utilities,"Juno Beach, Florida",27941,753308,
NLSN,Nielsen Holdings,reports,Industrials,Research & Consulting Services,"New York, New York",41464,1492633,
NKE,Nike,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",32477,320187,
NI,NiSource Inc.,reports,Utilities,Multi-Utilities,"Merrillville, Indiana",,1111711,1912
NBL,Noble Energy Inc,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",39363,72207,
JWN,Nordstrom,reports,Consumer Discretionary,Department Stores,"Seattle, Washington",31655,72333,
NSC,Norfolk Southern Corp.,reports,Industrials,Railroads,"Norfolk, Virginia",,702165,1881/1894 (1980)
NTRS,Northern Trust Corp.,reports,Financials,Asset Management & Custody Banks,"Chicago, Illinois",,73124,1889
NOC,Northrop Grumman,reports,Industrials,Aerospace & Defense,"West Falls Church, Virginia",31228,1133421,
NLOK,NortonLifeLock,reports,Information Technology,Application Software,"Tempe, Arizona",37705,849399,
NCLH,Norwegian Cruise Line Holdings,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",43021,1513761,
NRG,NRG Energy,reports,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",40207,1013871,
NUE,Nucor Corp.,reports,Materials,Steel,"Charlotte, North Carolina",31167,73309,
NVDA,Nvidia Corporation,reports,Information Technology,Semiconductors,"Santa Clara, California",37225,1045810,
NVR,NVR Inc,reports,Consumer Discretionary,Homebuilding,"Reston, VA",43734,906163,1980
ORLY,O'Reilly Automotive,reports,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",39899,898173,
OXY,Occidental Petroleum,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",30316,797468,
ODFL,Old Dominion Freight Line,reports,Industrials,Trucking,"Thomasville, North Carolina",43808,878927,1934
OMC,Omnicom Group,reports,Communication Services,Advertising,"New York, New York",,29989,1986
OKE,ONEOK,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",40252,1039684,
ORCL,Oracle Corp.,reports,Information Technology,Application Software,"Redwood Shores, California",32751,1341439,
OTIS,Otis Worldwide,reports,Industrials,Industrial Machinery,"Farmington, Connecticut",43924,1781335,
PCAR,PACCAR Inc.,reports,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",29586,75362,
PKG,Packaging Corporation of America,reports,Materials,Paper Packaging,"Lake Forest, Illinois",42942,75677,
PH,Parker-Hannifin,reports,Industrials,Industrial Machinery,"Cleveland, Ohio",31381,76334,
PAYX,Paychex Inc.,reports,Information Technology,Data Processing & Outsourced Services,"Penfield, New York",,723531,1971
PAYC,Paycom,reports,Information Technology,Application Software,"Oklahoma City, Oklahoma",43858,1590955,1998
PYPL,PayPal,reports,Information Technology,Data Processing & Outsourced Services,"San Jose, California",42205,1633917,1998
PNR,Pentair plc,reports,Industrials,Industrial Machinery,"Worsley, UK",41183,77360,
PBCT,People's United Financial,reports,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",39765,1378946,
PEP,PepsiCo Inc.,reports,Consumer Staples,Soft Drinks,"Purchase, New York",,77476,1898
PKI,PerkinElmer,reports,Health Care,Health Care Equipment,"Waltham, Massachusetts",31198,31791,
PRGO,Perrigo,reports,Health Care,Pharmaceuticals,"Dublin, Ireland",40896,1585364,
PFE,Pfizer Inc.,reports,Health Care,Pharmaceuticals,"New York, New York",,78003,1849
PM,Philip Morris International,reports,Consumer Staples,Tobacco,"New York, New York",39538,1413329,
PSX,Phillips 66,reports,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",41030,1534701,
PNW,Pinnacle West Capital,reports,Utilities,Multi-Utilities,"Phoenix, Arizona",,764622,1985
PXD,Pioneer Natural Resources,reports,Energy,Oil & Gas Exploration & Production,"Irving, Texas",39715,1038357,
PNC,PNC Financial Services,reports,Financials,Regional Banks,"Pittsburgh, Pennsylvania",32263,713676,
PPG,PPG Industries,reports,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",,79879,1883
PPL,PPL Corp.,reports,Utilities,Electric Utilities,"Allentown, Pennsylvania",,922224,
PFG,Principal Financial Group,reports,Financials,Life & Health Insurance,"Des Moines, Iowa",37459,1126328,
PG,Procter & Gamble,reports,Consumer Staples,Personal Products,"Cincinnati, Ohio",,80424,1837
PGR,Progressive Corp.,reports,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",35646,80661,
PLD,Prologis,reports,Real Estate,Industrial REITs,"San Francisco, California",37819,1045609,
PRU,Prudential Financial,reports,Financials,Life & Health Insurance,"Newark, New Jersey",37459,1137774,
PEG,Public Serv. Enterprise Inc.,reports,Utilities,Electric Utilities,"Newark, New Jersey",,788784,
PSA,Public Storage,reports,Real Estate,Specialized REITs,"Glendale, California",38583,1393311,
PHM,PulteGroup,reports,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",30802,822416,
PVH,PVH Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",41320,78239,
QRVO,Qorvo,reports,Information Technology,Semiconductors,"Greensboro, North Carolina",42166,1604778,2015
PWR,Quanta Services Inc.,reports,Industrials,Construction & Engineering,"Houston, Texas",39995,1050915,
QCOM,QUALCOMM Inc.,reports,Information Technology,Semiconductors,"San Diego, California",,804328,1985
DGX,Quest Diagnostics,reports,Health Care,Health Care Services,"Secaucus, New Jersey",37602,1022079,
RL,Ralph Lauren Corporation,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",39115,1037038,
RJF,Raymond James Financial Inc.,reports,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",42814,720005,
RTX,Raytheon Technologies,reports,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,101829,1922
O,Realty Income Corporation,reports,Real Estate,Retail REITs,"San Diego, California",42101,726728,
REG,Regency Centers Corporation,reports,Real Estate,Retail REITs,"Jacksonville, Florida",42796,910606,
REGN,Regeneron Pharmaceuticals,reports,Health Care,Biotechnology,"Tarrytown, New York",41395,872589,
RF,Regions Financial Corp.,reports,Financials,Regional Banks,"Birmingham, Alabama",36035,1281761,
RSG,Republic Services Inc,reports,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",39787,1060391,
RMD,ResMed,reports,Health Care,Health Care Equipment,"San Diego, California",42942,943819,
RHI,Robert Half International,reports,Industrials,Human Resource & Employment Services,"Menlo Park, California",36865,315213,
ROK,Rockwell Automation Inc.,reports,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1024478,
ROL,Rollins Inc.,reports,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",43374,84839,1948
ROP,Roper Technologies,reports,Industrials,Industrial Conglomerates,"Sarasota, Florida",40170,882835,
ROST,Ross Stores,reports,Consumer Discretionary,Apparel Retail,"Dublin, California",40168,745732,
RCL,Royal Caribbean Cruises Ltd,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",41978,884887,
SPGI,"S&P Global, Inc.",reports,Financials,Financial Exchanges & Data,"New York, New York",,64040,
CRM,Salesforce.com,reports,Information Technology,Application Software,"San Francisco, California",39706,1108524,
SBAC,SBA Communications,reports,Real Estate,Specialized REITs,"Boca Raton, Florida",42979,1034054,
SLB,Schlumberger Ltd.,reports,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",23832,87347,1926
STX,Seagate Technology,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",41092,1137789,
SEE,Sealed Air,reports,Materials,Paper Packaging,"Charlotte, North Carolina",,1012100,1960
SRE,Sempra Energy,reports,Utilities,Multi-Utilities,"San Diego, California",,1032208,1998
NOW,ServiceNow,reports,Information Technology,Systems Software,"Santa Clara, California",43790,1373715,2003
SHW,Sherwin-Williams,reports,Materials,Specialty Chemicals,"Cleveland, Ohio",23558,89800,1866
SPG,Simon Property Group Inc,reports,Real Estate,Retail REITs,"Indianapolis, Indiana",37433,1063761,2003
SWKS,Skyworks Solutions,reports,Information Technology,Semiconductors,"Woburn, Massachusetts",42075,4127,
SLG,SL Green Realty,reports,Real Estate,Office REITs,"New York, New York",42083,1040971,
SNA,Snap-on,reports,Industrials,Industrial Machinery,"Kenosha, Wisconsin",30224,91440,1920
SO,Southern Company,reports,Utilities,Electric Utilities,"Atlanta, Georgia",,92122,1945
LUV,Southwest Airlines,reports,Industrials,Airlines,"Dallas, Texas",34516,92380,
SWK,Stanley Black & Decker,reports,Industrials,Industrial Machinery,"New Britain, Connecticut",30224,93556,
SBUX,Starbucks Corp.,reports,Consumer Discretionary,Restaurants,"Seattle, Washington",,829224,1971
STT,State Street Corp.,reports,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,93751,1792
STE,STERIS plc,reports,Health Care,Health Care Equipment,"Dublin, Ireland",43822,1757898,1985
SYK,Stryker Corp.,reports,Health Care,Health Care Equipment,"Kalamazoo, Michigan",36872,310764,
SIVB,SVB Financial,reports,Financials,Regional Banks,"Santa Clara, California",43178,719739,
SYF,Synchrony Financial,reports,Financials,Consumer Finance,"Stamford, Connecticut",42326,1601712,2003
SNPS,Synopsys Inc.,reports,Information Technology,Application Software,"Mountain View, California",42810,883241,
SYY,Sysco Corp.,reports,Consumer Staples,Food Distributors,"Houston, Texas",31777,96021,
TMUS,T-Mobile US,reports,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",43661,1283699,1994
TROW,T. Rowe Price Group,reports,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1113169,1937
TTWO,Take-Two Interactive,reports,Communication Services,Interactive Home Entertainment,"New York, New York",43178,946581,
TPR,"Tapestry, Inc.",reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,1116132,2017
TGT,Target Corp.,reports,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",28125,27419,
TEL,TE Connectivity Ltd.,reports,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",40833,1385157,
FTI,TechnipFMC,reports,Energy,Oil & Gas Equipment & Services,"London, United Kingdom",39969,1681459,2017 (1958)
TFX,Teleflex,reports,Health Care,Health Care Equipment,"Wayne, Pennsylvania",43483,96943,1943
TXN,Texas Instruments,reports,Information Technology,Semiconductors,"Dallas, Texas",,97476,1930
TXT,Textron Inc.,reports,Industrials,Aerospace & Defense,"Providence, Rhode Island",28855,217346,
TMO,Thermo Fisher Scientific,reports,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",,97745,2006 (1902)
TIF,Tiffany & Co.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",36698,98246,
TJX,TJX Companies Inc.,reports,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",31320,109198,
TSCO,Tractor Supply Company,reports,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",41663,916365,
TT,Trane Technologies plc,reports,Industrials,Building Products,"Dublin, Ireland",40499,1466258,
TDG,TransDigm Group,reports,Industrials,Aerospace & Defense,"Cleveland, Ohio",42524,1260221,
TRV,The Travelers Companies Inc.,reports,Financials,Property & Casualty Insurance,"New York, New York",37489,86312,
TFC,Truist Financial,reports,Financials,Regional Banks,"Charlotte, North Carolina",35768,92230,
TWTR,"Twitter, Inc.",reports,Communication Services,Interactive Media & Services,"San Francisco, California",43258,1418091,
TSN,Tyson Foods,reports,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,100493,1935
UDR,"UDR, Inc.",reports,Real Estate,Residential REITs,"Highlands Ranch, Colorado",42436,74208,
ULTA,Ulta Beauty,reports,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",42478,1403568,1990
USB,U.S. Bancorp,reports,Financials,Diversified Banks,"Minneapolis, Minnesota",,36104,1968
UAA,Under Armour Class A,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",41760,1336917,
UA,Under Armour Class C,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",42468,1336917,
UNP,Union Pacific Corp,reports,Industrials,Railroads,"Omaha, Nebraska",,100885,1862
UAL,United Airlines Holdings,reports,Industrials,Airlines,"Chicago, Illinois",42250,100517,1967
UNH,United Health Group Inc.,reports,Health Care,Managed Health Care,"Minnetonka, Minnesota",34516,731766,
UPS,United Parcel Service,reports,Industrials,Air Freight & Logistics,"Atlanta, Georgia",37459,1090727,1907
URI,"United Rentals, Inc.",reports,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",41902,1067701,1997
UHS,"Universal Health Services, Inc.",reports,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",41902,352915,
UNM,Unum Group,reports,Financials,Life & Health Insurance,"Chattanooga, Tennessee",34394,5513,
VFC,V.F. Corp.,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",29036,103379,
VLO,Valero Energy,reports,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",,1035002,1980
VAR,Varian Medical Systems,reports,Health Care,Health Care Equipment,"Palo Alto, California",39125,203527,
VTR,Ventas Inc,reports,Real Estate,Health Care REITs,"Chicago, Illinois",39876,740260,
VRSN,Verisign Inc.,reports,Information Technology,Internet Services & Infrastructure,"Dulles, Virginia",38749,1014473,
VRSK,Verisk Analytics,reports,Industrials,Research & Consulting Services,"Jersey City, New Jersey",42285,1442145,1971
VZ,Verizon Communications,reports,Communication Services,Integrated Telecommunication Services,"New York, New York",30650,732712,
VRTX,Vertex Pharmaceuticals Inc,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",41540,875320,
VIAC,ViacomCBS,reports,Communication Services,Movies & Entertainment,"New York, New York",,1339947,
V,Visa Inc.,reports,Information Technology,Data Processing & Outsourced Services,"San Francisco, California",40168,1403161,
VNO,Vornado Realty Trust,reports,Real Estate,Office REITs,"New York, New York",,899689,1982
VMC,Vulcan Materials,reports,Materials,Construction Materials,"Birmingham, Alabama",36341,1396009,
WRB,W. R. Berkley Corporation,reports,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",43804,11544,1967
WAB,Wabtec Corporation,reports,Industrials,Construction Machinery & Heavy Trucks,"Wilmerding, Pennsylvania",43523,943452,1999 (1869)
WMT,Walmart,reports,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",30194,104169,
WBA,Walgreens Boots Alliance,reports,Consumer Staples,Drug Retail,"Deerfield, Illinois",29220,1618921,2014
DIS,The Walt Disney Company,reports,Communication Services,Movies & Entertainment,"Burbank, California",27941,1001039,
WM,Waste Management Inc.,reports,Industrials,Environmental & Facilities Services,"Houston, Texas",,823768,1968
WAT,Waters Corporation,reports,Health Care,Health Care Distributors,"Milford, Massachusetts",,1000697,1958
WEC,WEC Energy Group,reports,Utilities,Electric Utilities,"Milwaukee, Wisconsin",39752,783325,
WFC,Wells Fargo,reports,Financials,Diversified Banks,"San Francisco, California",27941,72971,
WELL,Welltower Inc.,reports,Real Estate,Health Care REITs,"Toledo, Ohio",39843,766704,
WDC,Western Digital,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Irvine, California",39995,106040,
WU,Western Union Co,reports,Information Technology,Data Processing & Outsourced Services,"Englewood, Colorado",,1365135,1851
WRK,WestRock,reports,Materials,Paper Packaging,"Richmond, Virginia",,1636023,2015
WY,Weyerhaeuser,reports,Real Estate,Specialized REITs,"Federal Way, Washington",,106535,1900
WHR,Whirlpool Corp.,reports,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640,1911
WMB,Williams Cos.,reports,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",27484,107263,
WLTW,Willis Towers Watson,reports,Financials,Insurance Brokers,"London, United Kingdom",42374,1140536,
WYNN,Wynn Resorts Ltd,reports,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",39766,1174922,
XEL,Xcel Energy Inc,reports,Utilities,Multi-Utilities,"Minneapolis, Minnesota",,72903,1909
XRX,Xerox,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Norwalk, Connecticut",,108772,1906
XLNX,Xilinx,reports,Information Technology,Semiconductors,"San Jose, California",36472,743988,
XYL,Xylem Inc.,reports,Industrials,Industrial Machinery,"White Plains, New York",40848,1524472,2011
YUM,Yum! Brands Inc,reports,Consumer Discretionary,Restaurants,"Louisville, Kentucky",35709,1041061,
ZBRA,Zebra Technologies,reports,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",43822,877212,1969
ZBH,Zimmer Biomet Holdings,reports,Health Care,Health Care Equipment,"Warsaw, Indiana",37110,1136869,
ZION,Zions Bancorp,reports,Financials,Regional Banks,"Salt Lake City, Utah",37064,109380,
ZTS,Zoetis,reports,Health Care,Pharmaceuticals,"Florham Park, New Jersey",41446,1555280,1952